ADDR_LN_1,CITY,LATTD,LNGTD
19011 FM 530,HALLETTSVILLE,29.299028,-96.695485
19005 FM 530,HALLETTSVILLE,29.299105,-96.695491
14042 FM 531,HALLETTSVILLE,29.299224,-96.994938
10891 COUNTY ROAD 1,HALLETTSVILLE,29.299778,-96.913799
13939 FM 531,HALLETTSVILLE,29.300838,-96.995156
13939 FM 531,HALLETTSVILLE,29.300838,-96.995156
2153 COUNTY ROAD 456,HALLETTSVILLE,29.301352,-96.93343
10739 COUNTY ROAD 1,HALLETTSVILLE,29.302058,-96.913873
4184 COUNTY ROAD 12,HALLETTSVILLE,29.302147,-96.886221
2367 COUNTY ROAD 461,HALLETTSVILLE,29.302488,-96.939323
2205 COUNTY ROAD 461,HALLETTSVILLE,29.302792,-96.941068
11921 FM 531,HALLETTSVILLE,29.302955,-97.013736
10722 COUNTY ROAD 1,HALLETTSVILLE,29.303111,-96.914082
11758 FM 531,HALLETTSVILLE,29.303637,-97.014629
11758 FM 531,HALLETTSVILLE,29.303637,-97.014629
10309 COUNTY ROAD 1,HALLETTSVILLE,29.303754,-96.918227
10309 COUNTY ROAD 1,HALLETTSVILLE,29.303754,-96.918227
10307 COUNTY ROAD 1,HALLETTSVILLE,29.303765,-96.918256
10028 COUNTY ROAD 1,HALLETTSVILLE,29.30481,-96.920961
12373 FM 531,HALLETTSVILLE,29.304905,-97.010303
9796 COUNTY ROAD 1,HALLETTSVILLE,29.306465,-96.922702
481 COUNTY ROAD 12B,HALLETTSVILLE,29.306634,-96.887487
11420 FM 531,HALLETTSVILLE,29.307551,-97.019152
11420 FM 531,HALLETTSVILLE,29.307551,-97.019152
11417 FM 531,HALLETTSVILLE,29.307607,-97.019214
12446 FM 531,HALLETTSVILLE,29.307626,-97.008369
2905 COUNTY ROAD 12,HALLETTSVILLE,29.308307,-96.882445
13452 FM 531,HALLETTSVILLE,29.308406,-96.996385
13452 FM 531,HALLETTSVILLE,29.308406,-96.996385
463 COUNTY ROAD 425,HALLETTSVILLE,29.308441,-96.958185
2 PRIVATE ROAD 4005,HALLETTSVILLE,29.308441,-96.958185
102 COUNTY ROAD 425,HALLETTSVILLE,29.308441,-96.958185
602 COUNTY ROAD 425,HALLETTSVILLE,29.308441,-96.958185
339 COUNTY ROAD 430,HALLETTSVILLE,29.308441,-96.958185
152 COUNTY ROAD 425,HALLETTSVILLE,29.308441,-96.958185
122 PRIVATE ROAD 4002,HALLETTSVILLE,29.308441,-96.958185
63 PRIVATE ROAD 4005,HALLETTSVILLE,29.308441,-96.958185
86 COUNTY ROAD 183,HALLETTSVILLE,29.308441,-96.958185
13358 FM 531,HALLETTSVILLE,29.308441,-96.958185
108 COUNTY ROAD 454,HALLETTSVILLE,29.308441,-96.958185
152 COUNTY ROAD 425,HALLETTSVILLE,29.308441,-96.958185
769 PRIVATE ROAD 3077,HALLETTSVILLE,29.308441,-96.958185
187 PRIVATE ROAD 3077,HALLETTSVILLE,29.308441,-96.958185
28 COUNTY ROAD 456A,HALLETTSVILLE,29.308441,-96.958185
378 COUNTY ROAD 425,HALLETTSVILLE,29.308441,-96.958185
182 PRIVATE ROAD 4002,HALLETTSVILLE,29.308441,-96.958185
90 COUNTY ROAD 456A,HALLETTSVILLE,29.308441,-96.958185
72 PRIVATE ROAD 4002,HALLETTSVILLE,29.308441,-96.958185
150 PRIVATE ROAD 4002,HALLETTSVILLE,29.308441,-96.958185
4 PRIVATE ROAD 4005,HALLETTSVILLE,29.308441,-96.958185
1815 COUNTY ROAD 450,HALLETTSVILLE,29.30851,-96.923592
106 COUNTY ROAD 449,HALLETTSVILLE,29.30851,-96.923592
326 PRIVATE ROAD 1065,HALLETTSVILLE,29.30851,-96.923592
664 COUNTY ROAD 430,HALLETTSVILLE,29.30851,-96.923592
3857 COUNTY ROAD 444,HALLETTSVILLE,29.30851,-96.923592
11362 FM 531,HALLETTSVILLE,29.308601,-97.020355
12589 FM 531,HALLETTSVILLE,29.309802,-97.007317
13154 FM 531,HALLETTSVILLE,29.310312,-97.001575
9690 COUNTY ROAD 1,HALLETTSVILLE,29.31058,-96.924656
13079 FM 531,HALLETTSVILLE,29.311313,-97.005439
2750 COUNTY ROAD 12,HALLETTSVILLE,29.312931,-96.882413
9564 COUNTY ROAD 1,HALLETTSVILLE,29.312991,-96.924576
792 COUNTY ROAD 12C,HALLETTSVILLE,29.313046,-96.87211
3132 COUNTY ROAD 158,HALLETTSVILLE,29.315096,-96.763716
291 COUNTY ROAD 12C,HALLETTSVILLE,29.316326,-96.876461
10601 FM 531,HALLETTSVILLE,29.316557,-97.029472
10601 FM 531,HALLETTSVILLE,29.316557,-97.029472
2692 COUNTY ROAD 12,HALLETTSVILLE,29.316627,-96.882181
10578 FM 531,HALLETTSVILLE,29.316684,-97.029626
10474 FM 531,HALLETTSVILLE,29.317287,-97.030352
151 COUNTY ROAD 388,HALLETTSVILLE,29.317437,-96.968551
152 COUNTY ROAD 388,HALLETTSVILLE,29.317486,-96.968613
10412 FM 531,HALLETTSVILLE,29.317649,-97.030787
274 COUNTY ROAD 428,HALLETTSVILLE,29.318405,-97.048189
17847 FM 530,HALLETTSVILLE,29.318551,-96.698191
17843 FM 530,HALLETTSVILLE,29.318609,-96.698292
10367 FM 531,HALLETTSVILLE,29.318798,-97.032193
189 COUNTY ROAD 428,HALLETTSVILLE,29.319306,-97.047229
10327 FM 531,HALLETTSVILLE,29.319516,-97.033045
8613 COUNTY ROAD 1,HALLETTSVILLE,29.320348,-96.928886
10073 FM 531,HALLETTSVILLE,29.320615,-97.03429
2263 COUNTY ROAD 12,HALLETTSVILLE,29.321228,-96.879056
2260 COUNTY ROAD 12,HALLETTSVILLE,29.321256,-96.87906
63 COUNTY ROAD 428,HALLETTSVILLE,29.321366,-97.045122
10023 FM 531,HALLETTSVILLE,29.321769,-97.035602
2201 COUNTY ROAD 12,HALLETTSVILLE,29.322153,-96.87914
9894 FM 531,HALLETTSVILLE,29.322593,-97.036996
8684 FM 531,HALLETTSVILLE,29.323547,-97.048942
3764 COUNTY ROAD 387,HALLETTSVILLE,29.324548,-96.985186
2019 COUNTY ROAD 12,HALLETTSVILLE,29.324754,-96.878073
3889 COUNTY ROAD 387,HALLETTSVILLE,29.325571,-96.98492
199 PRIVATE ROAD 1052,HALLETTSVILLE,29.325798,-96.748582
15264 FM 530,HALLETTSVILLE,29.325828,-96.733473
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15260 FM 530,HALLETTSVILLE,29.326547,-96.734286
15258 FM 530,HALLETTSVILLE,29.326899,-96.734694
15258 FM 530,HALLETTSVILLE,29.326899,-96.734694
15258 FM 530,HALLETTSVILLE,29.326899,-96.734694
15258 FM 530,HALLETTSVILLE,29.326899,-96.734694
2001 COUNTY ROAD 12,HALLETTSVILLE,29.327404,-96.878506
80 COUNTY ROAD 12D,HALLETTSVILLE,29.327577,-96.877155
80 COUNTY ROAD 12D,HALLETTSVILLE,29.327577,-96.877155
67 COUNTY ROAD 12D,HALLETTSVILLE,29.327577,-96.877397
5993 COUNTY ROAD 16,HALLETTSVILLE,29.327721,-96.830028
5993 COUNTY ROAD 16,HALLETTSVILLE,29.327721,-96.830028
5993 COUNTY ROAD 16,HALLETTSVILLE,29.327721,-96.830028
5993 COUNTY ROAD 16,HALLETTSVILLE,29.327721,-96.830028
97 PRIVATE ROAD 1052,HALLETTSVILLE,29.328108,-96.748842
5593 COUNTY ROAD 16,HALLETTSVILLE,29.328394,-96.822615
15207 FM 530,HALLETTSVILLE,29.330247,-96.736947
14694 FM 530,HALLETTSVILLE,29.330723,-96.737438
14600 FM 530,HALLETTSVILLE,29.332158,-96.739246
913 COUNTY ROAD 459,HALLETTSVILLE,29.332221,-96.918939
7853 COUNTY ROAD 1,HALLETTSVILLE,29.332852,-96.932571
7839 US HIGHWAY 77 S,HALLETTSVILLE,29.333046,-96.968191
7839 US HIGHWAY 77 S,HALLETTSVILLE,29.333046,-96.968191
7839 US HIGHWAY 77 S,HALLETTSVILLE,29.333046,-96.968191
4688 COUNTY ROAD 16,HALLETTSVILLE,29.333375,-96.808024
4653 COUNTY ROAD 16,HALLETTSVILLE,29.333621,-96.807691
643 COUNTY ROAD 16D,HALLETTSVILLE,29.334803,-96.818963
14453 FM 530,HALLETTSVILLE,29.334892,-96.742734
4387 COUNTY ROAD 16,HALLETTSVILLE,29.335254,-96.80505
1358 COUNTY ROAD 383,HALLETTSVILLE,29.335966,-97.027976
524 COUNTY ROAD 16D,HALLETTSVILLE,29.336051,-96.815325
7598 US HIGHWAY 77 S,HALLETTSVILLE,29.336741,-96.968207
5309 COUNTY ROAD 15,HALLETTSVILLE,29.336904,-96.838252
14355 FM 530,HALLETTSVILLE,29.337055,-96.745465
877 PRIVATE ROAD 1050,HALLETTSVILLE,29.337218,-96.761479
877 PRIVATE ROAD 1050,HALLETTSVILLE,29.337218,-96.761479
4121 COUNTY ROAD 16,HALLETTSVILLE,29.337377,-96.803049
